dataset,method,method_label,B_component_checks,reference_evaluations,budget_fraction,accepted_coverage,mean_relerr,relerr_cluster_low,relerr_cluster_high,mean_cosine,cosine_cluster_low,cosine_cluster_high,mean_false_risk,false_risk_cluster_low,false_risk_cluster_high
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,0,0,0,1,0.321679680918,0.275066054137,0.372006574863,0.995746075819,0.994449969139,0.996868608202,0.0318181818182,0.0215909090909,0.0420454545455
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,1,2,0.0909090909091,0.909090909091,0.311925007579,0.266647439938,0.360793111706,0.993000977102,0.99104623922,0.994659039913,0.0161596679688,0.0086328125,0.0243652954102
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,2,4,0.181818181818,0.818181818182,0.298014113661,0.254328228555,0.345220158127,0.987176742519,0.982503507072,0.990997510516,0.00811360677083,0.00280490451389,0.0143500434028
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,3,6,0.272727272727,0.727272727273,0.281138189649,0.239870338907,0.325786729703,0.979510502567,0.969715606556,0.987251355461,0.00722045898437,0.0015625,0.0137084960937
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,4,8,0.363636363636,0.636363636364,0.262253535511,0.22383968919,0.303561065567,0.977255858033,0.966693008993,0.985653513045,0.00586635044643,0.00112653459821,0.0120227922712
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,5,10,0.454545454545,0.545454545455,0.24109968684,0.205884730437,0.279040751769,0.977073891124,0.967318333724,0.984947776233,0.00581868489583,0.00111490885417,0.0119146728516
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,6,12,0.545454545455,0.454545454545,0.217895094424,0.186184926101,0.25196909948,0.978753781502,0.970313473882,0.985520256849,0.0058349609375,0.001083984375,0.0119482421875
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,7,14,0.636363636364,0.363636363636,0.191557252957,0.163894343464,0.221419094099,0.981670843838,0.974967369669,0.987163016882,0.00586547851562,0.00110473632813,0.0119995117187
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,8,16,0.727272727273,0.272727272727,0.160786460118,0.137298625437,0.186088921423,0.985520079677,0.980451037441,0.989724614151,0.006005859375,0.00113932291667,0.0122802734375
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,9,18,0.818181818182,0.181818181818,0.125770589556,0.107385871596,0.145578422778,0.989583586259,0.986181058542,0.992448590051,0.00570068359375,0.00103759765625,0.0116943359375
