dataset,method,method_label,B_component_checks,reference_evaluations,budget_fraction,mean_relerr,relerr_cluster_low,relerr_cluster_high,mean_cosine,mean_false_trust_risk
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,1,2,0.0909090909091,0.311925007579,0.266647439938,0.360793111706,0.993000977102,0.0161596679688
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,3,6,0.272727272727,0.281138189649,0.239870338907,0.325786729703,0.979510502567,0.00722045898437
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,6,12,0.545454545455,0.217895094424,0.186184926101,0.25196909948,0.978753781502,0.0058349609375
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,8,16,0.727272727273,0.160786460118,0.137298625437,0.186088921423,0.985520079677,0.006005859375
TMM easy (near-saturated),sign_agreement,Modal sign agreement,1,2,0.0909090909091,0.311876253682,0.266580556352,0.360895349363,0.992991826692,0.016201171875
TMM easy (near-saturated),sign_agreement,Modal sign agreement,3,6,0.272727272727,0.280984650967,0.23972398571,0.32548533016,0.979409407909,0.00722961425781
TMM easy (near-saturated),sign_agreement,Modal sign agreement,6,12,0.545454545455,0.217731435622,0.186008358241,0.251738167468,0.978858531999,0.0059033203125
TMM easy (near-saturated),sign_agreement,Modal sign agreement,8,16,0.727272727273,0.160569920705,0.13712535168,0.185810085052,0.985515853941,0.00581868489583
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,1,2,0.0909090909091,0.319868712553,0.273046505464,0.370137435448,0.994995979344,0.01375
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,3,6,0.272727272727,0.312697402649,0.266075500985,0.362675743235,0.987773248152,0.00625
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,6,12,0.545454545455,0.248623917073,0.212616485066,0.286541673571,0.982526058424,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,8,16,0.727272727273,0.168656557147,0.143250546538,0.195534719145,0.988130621196,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,1,2,0.0909090909091,0.32011485297,0.273333495407,0.370542397508,0.994893378083,0.01875
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,3,6,0.272727272727,0.316275642307,0.26944504991,0.366520116483,0.992498186733,0.003125
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,6,12,0.545454545455,0.298538788164,0.253487792111,0.346943516138,0.981027499173,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,8,16,0.727272727273,0.281396842457,0.238037528676,0.327728008994,0.976361727442,0
TMM stressed,mean_aligned_sign,Mean-aligned sign,1,2,0.0909090909091,0.935367355851,0.821452847845,1.05752568049,0.806614663526,0.182271484375
TMM stressed,mean_aligned_sign,Mean-aligned sign,3,6,0.272727272727,0.864486150154,0.753523840037,0.983630784514,0.836929210397,0.146325683594
TMM stressed,mean_aligned_sign,Mean-aligned sign,6,12,0.545454545455,0.702122226638,0.608076067861,0.803707951649,0.887477118463,0.12829296875
TMM stressed,mean_aligned_sign,Mean-aligned sign,8,16,0.727272727273,0.534878036815,0.46130373891,0.612983965768,0.918135916992,0.123515625
TMM stressed,sign_agreement,Modal sign agreement,1,2,0.0909090909091,0.934376744272,0.820149874998,1.05731086179,0.807898440864,0.185802734375
TMM stressed,sign_agreement,Modal sign agreement,3,6,0.272727272727,0.86485019563,0.753594848284,0.984196751703,0.836943600834,0.147102050781
TMM stressed,sign_agreement,Modal sign agreement,6,12,0.545454545455,0.70217050684,0.607980040959,0.803672100503,0.887434679715,0.12919140625
TMM stressed,sign_agreement,Modal sign agreement,8,16,0.727272727273,0.535149620176,0.461646271638,0.613633450341,0.918148008881,0.123697916667
TMM stressed,snr,SNR $|\bar g|/s$,1,2,0.0909090909091,0.936879998667,0.823254524968,1.05929091369,0.800353747001,0.19
TMM stressed,snr,SNR $|\bar g|/s$,3,6,0.272727272727,0.874366964002,0.759265971344,0.998769961311,0.841649859639,0.145
TMM stressed,snr,SNR $|\bar g|/s$,6,12,0.545454545455,0.75793695331,0.646069561363,0.882341316083,0.894515635121,0.084
TMM stressed,snr,SNR $|\bar g|/s$,8,16,0.727272727273,0.643690165247,0.537562209014,0.759834624073,0.921847169551,0.0766666666667
TMM stressed,magnitude,Magnitude $|\bar g|$,1,2,0.0909090909091,0.940803406084,0.82713705582,1.06318244359,0.79481985432,0.193
TMM stressed,magnitude,Magnitude $|\bar g|$,3,6,0.272727272727,0.896397092871,0.781244163342,1.01958834061,0.824176552696,0.145
TMM stressed,magnitude,Magnitude $|\bar g|$,6,12,0.545454545455,0.806400395225,0.694519199369,0.929432824037,0.874529329704,0.092
TMM stressed,magnitude,Magnitude $|\bar g|$,8,16,0.727272727273,0.697100482778,0.590716333323,0.813917937715,0.912038831423,0.0566666666667
Heat/Poisson stressed,mean_aligned_sign,Mean-aligned sign,1,2,0.0625,0.339326274051,0.327788572746,0.351270246785,0.95233264485,0.0832682291667
Heat/Poisson stressed,mean_aligned_sign,Mean-aligned sign,4,8,0.25,0.321416818749,0.309687517569,0.333528573174,0.957944212867,0.04810546875
Heat/Poisson stressed,mean_aligned_sign,Mean-aligned sign,8,16,0.5,0.268183137755,0.25775693671,0.278877701001,0.969718167958,0.0460668945312
Heat/Poisson stressed,mean_aligned_sign,Mean-aligned sign,12,24,0.75,0.185812648232,0.178468150395,0.193272494578,0.984097190761,0.0458984375
Heat/Poisson stressed,sign_agreement,Modal sign agreement,1,2,0.0625,0.339194126173,0.327682540484,0.35105785447,0.95238056247,0.0832552083333
Heat/Poisson stressed,sign_agreement,Modal sign agreement,4,8,0.25,0.321406650772,0.30971763383,0.333487924868,0.957945267186,0.0480875651042
Heat/Poisson stressed,sign_agreement,Modal sign agreement,8,16,0.5,0.268488555766,0.258033972282,0.279164653351,0.969606705872,0.0464868164062
Heat/Poisson stressed,sign_agreement,Modal sign agreement,12,24,0.75,0.185966031752,0.178571350983,0.193517172734,0.984039621682,0.0464794921875
Heat/Poisson stressed,snr,SNR $|\bar g|/s$,1,2,0.0625,0.339486558421,0.327882464621,0.35137652186,0.952266805162,0.082
Heat/Poisson stressed,snr,SNR $|\bar g|/s$,4,8,0.25,0.322578858383,0.310744282262,0.334630575399,0.957669462716,0.045
Heat/Poisson stressed,snr,SNR $|\bar g|/s$,8,16,0.5,0.2793428328,0.266481945552,0.292134489527,0.970114591512,0.0275
Heat/Poisson stressed,snr,SNR $|\bar g|/s$,12,24,0.75,0.191119091234,0.177617933311,0.204305710901,0.985157834526,0
Heat/Poisson stressed,magnitude,Magnitude $|\bar g|$,1,2,0.0625,0.33949978235,0.327927265382,0.351330020474,0.952276786701,0.0833333333333
Heat/Poisson stressed,magnitude,Magnitude $|\bar g|$,4,8,0.25,0.323136612229,0.311231235327,0.335364109058,0.957533153596,0.0416666666667
Heat/Poisson stressed,magnitude,Magnitude $|\bar g|$,8,16,0.5,0.282422315865,0.269212764752,0.295599742236,0.969037693317,0.015
Heat/Poisson stressed,magnitude,Magnitude $|\bar g|$,12,24,0.75,0.208623814082,0.196047487437,0.220718779851,0.982639168323,0
