dataset,method,method_label,auc,auc_cluster_low,auc_cluster_high,delta_auc_vs_sign,delta_cluster_low,delta_cluster_high,delta_auc_vs_mean_aligned,delta_mean_aligned_cluster_low,delta_mean_aligned_cluster_high,bootstrap_valid,NQ,K,n_components,n_sign_correct,n_sign_wrong
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,0.905600268276,0.841390871323,0.963040935673,-2.09590878606e-05,-0.000625195387665,0.000569992964883,0,0,0,10000,80,11,880,852,28
TMM easy (near-saturated),sign_agreement,Modal sign agreement,0.905621227364,0.841797771574,0.962853968548,0,0,0,2.09590878606e-05,-0.000569992964883,0.000625195387665,10000,80,11,880,852,28
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,0.969944668008,0.955457897399,0.98272939182,0.0643234406439,0.0148275965959,0.119048644231,0.0643443997317,0.0147935103869,0.119235165793,10000,80,11,880,852,28
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,0.95317739772,0.926365653914,0.97648999393,0.0475561703555,-0.00530082829895,0.108211563763,0.0475771294433,-0.0053200708031,0.108341660115,10000,80,11,880,852,28
TMM easy (near-saturated),inverse_raw_spread,Low raw spread $-s$,0.220405767941,0.142985687006,0.293250724053,-0.685215459423,-0.787658881079,-0.585685812041,-0.685194500335,-0.787705861826,-0.58535436395,10000,80,11,880,852,28
TMM stressed,mean_aligned_sign,Mean-aligned sign,0.724089282267,0.691703186025,0.755790219666,0.00131180975293,-9.30160032484e-05,0.00294657618205,0,0,0,10000,100,11,1100,867,233
TMM stressed,sign_agreement,Modal sign agreement,0.722777472514,0.690276145924,0.754697145791,0,0,0,-0.00131180975293,-0.00294657618205,9.30160032484e-05,10000,100,11,1100,867,233
TMM stressed,snr,SNR $|\bar g|/s$,0.781308938622,0.750698299488,0.81079282743,0.0585314661083,0.0422735296316,0.0753081711517,0.0572196563553,0.0410384250755,0.073717235592,10000,100,11,1100,867,233
TMM stressed,magnitude,Magnitude $|\bar g|$,0.738256827598,0.706270713628,0.769482164393,0.0154793550846,-0.00682951241998,0.037993320682,0.0141675453317,-0.00802524244187,0.0364692414787,10000,100,11,1100,867,233
TMM stressed,inverse_raw_spread,Low raw spread $-s$,0.559702194435,0.527371585986,0.590769744409,-0.163075278079,-0.20804873793,-0.118317464903,-0.164387087832,-0.209078685243,-0.119697681193,10000,100,11,1100,867,233
Heat/Poisson stressed,mean_aligned_sign,Mean-aligned sign,0.762243256848,0.729403204383,0.793453704085,0.0010394542456,-0.000530796986156,0.00285310657989,0,0,0,10000,100,16,1600,1429,171
Heat/Poisson stressed,sign_agreement,Modal sign agreement,0.761203802602,0.72817208146,0.792524619177,0,0,0,-0.0010394542456,-0.00285310657989,0.000530796986156,10000,100,16,1600,1429,171
Heat/Poisson stressed,snr,SNR $|\bar g|/s$,0.824590049886,0.801418933979,0.846839268278,0.0633862472837,0.0495128433047,0.0788214066981,0.0623467930381,0.0487551895037,0.0776452107523,10000,100,16,1600,1429,171
Heat/Poisson stressed,magnitude,Magnitude $|\bar g|$,0.842223941005,0.819331983806,0.864169287677,0.0810201384029,0.0646298134225,0.0985253684577,0.0799806841573,0.0639303455306,0.0975511440797,10000,100,16,1600,1429,171
Heat/Poisson stressed,inverse_raw_spread,Low raw spread $-s$,0.520643806858,0.48611977621,0.55618529203,-0.240559995744,-0.275988884192,-0.203342199034,-0.24159944999,-0.276881977092,-0.204485980289,10000,100,16,1600,1429,171
