dataset,method,method_label,threshold,threshold_rule,target_sign_accepted_count,accepted_count,TP,FP,FN,TN,coverage,false_trust_risk,sensitivity,specificity,fd_component_checks_mean,reference_evaluations_mean,all_fd_reference_evaluations,reference_evaluation_savings_fraction,coverage_cluster_low,coverage_cluster_high,false_trust_risk_cluster_low,false_trust_risk_cluster_high,sensitivity_cluster_low,sensitivity_cluster_high,specificity_cluster_low,specificity_cluster_high
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,0.9,fixed sign threshold 0.9,844,844,831,13,21,15,0.959090909091,0.0154028436019,0.975352112676,0.535714285714,0.45,0.9,22,0.959090909091,0.944318181818,0.972727272727,0.00824475161089,0.0237812128419,0.963657678781,0.984866123399,0.363573232323,0.714285714286
TMM easy (near-saturated),sign_agreement,Modal sign agreement,0.9,fixed sign threshold 0.9,844,844,831,13,21,15,0.959090909091,0.0154028436019,0.975352112676,0.535714285714,0.45,0.9,22,0.959090909091,0.944318181818,0.972727272727,0.00824475161089,0.0237812128419,0.963657678781,0.984866123399,0.363573232323,0.714285714286
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,1.08762991208,descriptive full-sample match to sign coverage,844,844,833,11,19,17,0.959090909091,0.0130331753555,0.977699530516,0.607142857143,0.45,0.9,22,0.959090909091,0.945454545455,0.971590909091,0.00595238095238,0.0203592814371,0.968420128189,0.985997666278,0.434782608696,0.777777777778
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,7.94557120159e-05,descriptive full-sample match to sign coverage,844,844,829,15,23,13,0.959090909091,0.0177725118483,0.973004694836,0.464285714286,0.45,0.9,22,0.959090909091,0.939772727273,0.976136363636,0.00953516090584,0.0269953051643,0.957745237583,0.984901277584,0.275862068966,0.655172413793
TMM easy (near-saturated),inverse_raw_spread,Low raw spread $-s$,-0.0021260711974,descriptive full-sample match to sign coverage,844,844,816,28,36,0,0.959090909091,0.0331753554502,0.957746478873,0,0.45,0.9,22,0.959090909091,0.938636363636,0.977272727273,0.0226460071514,0.0447585394582,0.936842105263,0.976470588235,0,0
TMM stressed,mean_aligned_sign,Mean-aligned sign,0.9,fixed sign threshold 0.9,814,814,705,109,162,124,0.74,0.133906633907,0.813148788927,0.532188841202,2.86,5.72,22,0.74,0.716363636364,0.763636363636,0.106666666667,0.163771712159,0.788165680473,0.837106031789,0.474103585657,0.592760180995
TMM stressed,sign_agreement,Modal sign agreement,0.9,fixed sign threshold 0.9,814,814,705,109,162,124,0.74,0.133906633907,0.813148788927,0.532188841202,2.86,5.72,22,0.74,0.716363636364,0.763636363636,0.106666666667,0.163771712159,0.788165680473,0.837106031789,0.474103585657,0.592760180995
TMM stressed,snr,SNR $|\bar g|/s$,0.983974678899,descriptive full-sample match to sign coverage,814,814,708,106,159,127,0.74,0.130221130221,0.81660899654,0.545064377682,2.86,5.72,22,0.74,0.711818181818,0.767272727273,0.10551558753,0.157760814249,0.789349112426,0.843069873998,0.488092857143,0.601898092476
TMM stressed,magnitude,Magnitude $|\bar g|$,0.00114153275154,descriptive full-sample match to sign coverage,814,814,690,124,177,109,0.74,0.152334152334,0.795847750865,0.467811158798,2.86,5.72,22,0.74,0.712727272727,0.765454545455,0.123622670598,0.183796856106,0.765754533813,0.823670143416,0.40350877193,0.532407407407
TMM stressed,inverse_raw_spread,Low raw spread $-s$,-0.00168096473837,descriptive full-sample match to sign coverage,814,814,654,160,213,73,0.74,0.19656019656,0.754325259516,0.31330472103,2.86,5.72,22,0.74,0.699090909091,0.779090909091,0.167475728155,0.228137948854,0.713463751438,0.79298255537,0.251046025105,0.376119124239
Heat/Poisson stressed,mean_aligned_sign,Mean-aligned sign,0.9,fixed sign threshold 0.9,1278,1278,1216,62,213,109,0.79875,0.0485133020344,0.850944716585,0.637426900585,3.22,6.44,32,0.79875,0.785625,0.8125,0.0397815912637,0.0576773187841,0.83674875604,0.865534324133,0.573863636364,0.696428571429
Heat/Poisson stressed,sign_agreement,Modal sign agreement,0.9,fixed sign threshold 0.9,1278,1278,1216,62,213,109,0.79875,0.0485133020344,0.850944716585,0.637426900585,3.22,6.44,32,0.79875,0.785625,0.8125,0.0397815912637,0.0576773187841,0.83674875604,0.865534324133,0.573863636364,0.696428571429
Heat/Poisson stressed,snr,SNR $|\bar g|/s$,1.08192367875,descriptive full-sample match to sign coverage,1278,1278,1216,62,213,109,0.79875,0.0485133020344,0.850944716585,0.637426900585,3.22,6.44,32,0.79875,0.786875,0.810625,0.0390625,0.058320537365,0.837666446025,0.864561403509,0.573099415205,0.698227331328
Heat/Poisson stressed,magnitude,Magnitude $|\bar g|$,0.0139694759307,descriptive full-sample match to sign coverage,1278,1278,1219,59,210,112,0.79875,0.0461658841941,0.853044086774,0.654970760234,3.22,6.44,32,0.79875,0.78625,0.810625,0.0369496855346,0.0558139534884,0.839888843041,0.866525423729,0.589590590667,0.715909090909
Heat/Poisson stressed,inverse_raw_spread,Low raw spread $-s$,-0.0161435360321,descriptive full-sample match to sign coverage,1278,1278,1139,139,290,32,0.79875,0.108763693271,0.797060881735,0.187134502924,3.22,6.44,32,0.79875,0.78375,0.81375,0.0939226519337,0.124038822268,0.782458502956,0.811452513966,0.136094674556,0.24
