method,method_label,start_index,iteration,objective,best_so_far_objective,objective_over_initial,best_over_initial,components_checked_this_update,verification_reference_calls_this_update,cumulative_verification_reference_calls,cumulative_assessment_reference_calls,cumulative_total_reference_calls_if_assessment_counted,fd_analytic_relative_l2,fd_analytic_sign_mismatches
all_autodiff,All autodiff,26,0,0.2838859192,0.2838859192,1,1,0,0,0,1,1,,0
all_autodiff,All autodiff,26,1,0.04295779138,0.04295779138,0.1513206133,0.1513206133,0,0,0,2,2,,0
all_autodiff,All autodiff,26,2,0.04721835396,0.04295779138,0.1663286228,0.1513206133,0,0,0,3,3,,0
all_autodiff,All autodiff,26,3,0.04505379311,0.04295779138,0.1587038668,0.1513206133,0,0,0,4,4,,0
all_autodiff,All autodiff,26,4,0.04829183925,0.04295779138,0.1701100195,0.1513206133,0,0,0,5,5,,0
all_autodiff,All autodiff,26,5,0.04823998731,0.04295779138,0.1699273689,0.1513206133,0,0,0,6,6,,0
all_autodiff,All autodiff,26,6,0.0497709156,0.04295779138,0.1753201277,0.1513206133,0,0,0,7,7,,0
all_autodiff,All autodiff,26,7,0.04983151861,0.04295779138,0.1755336043,0.1513206133,0,0,0,8,8,,0
all_autodiff,All autodiff,26,8,0.04993003269,0.04295779138,0.1758806243,0.1513206133,0,0,0,9,9,,0
all_autodiff,All autodiff,26,9,0.04924066373,0.04295779138,0.1734522933,0.1513206133,0,0,0,10,10,,0
all_autodiff,All autodiff,26,10,0.04820051754,0.04295779138,0.169788335,0.1513206133,0,0,0,11,11,,0
all_autodiff,All autodiff,26,11,0.04669781925,0.04295779138,0.1644950175,0.1513206133,0,0,0,12,12,,0
all_autodiff,All autodiff,26,12,0.04491534194,0.04295779138,0.1582161668,0.1513206133,0,0,0,13,13,,0
all_autodiff,All autodiff,26,13,0.04292696953,0.04292696953,0.151212042,0.151212042,0,0,0,14,14,,0
all_autodiff,All autodiff,26,14,0.04085524819,0.04085524819,0.1439143171,0.1439143171,0,0,0,15,15,,0
all_autodiff,All autodiff,26,15,0.03879327123,0.03879327123,0.1366509172,0.1366509172,0,0,0,16,16,,0
all_autodiff,All autodiff,26,16,0.03682881373,0.03682881373,0.1297310336,0.1297310336,0,0,0,17,17,,0
all_autodiff,All autodiff,26,17,0.03503567618,0.03503567618,0.1234146318,0.1234146318,0,0,0,18,18,,0
all_autodiff,All autodiff,26,18,0.03348356408,0.03348356408,0.1179472521,0.1179472521,0,0,0,19,19,,0
all_autodiff,All autodiff,26,19,0.03224581366,0.03224581366,0.1135872246,0.1135872246,0,0,0,20,20,,0
all_autodiff,All autodiff,26,20,0.03141056042,0.03141056042,0.1106450102,0.1106450102,0,0,0,21,21,,0
complete_fd,Complete central FD,26,0,0.2838859192,0.2838859192,1,1,0,0,0,1,1,,0
complete_fd,Complete central FD,26,1,0.06230377361,0.06230377361,0.2194676432,0.2194676432,11,22,22,2,24,0.0005998862882,0
complete_fd,Complete central FD,26,2,0.2838226368,0.06230377361,0.9997770853,0.2194676432,11,22,44,3,47,0.001515848291,0
complete_fd,Complete central FD,26,3,0.06227636992,0.06227636992,0.2193711125,0.2193711125,11,22,66,4,70,0.0006000004712,0
complete_fd,Complete central FD,26,4,0.2837589136,0.06227636992,0.9995526176,0.2193711125,11,22,88,5,93,0.001515813655,0
complete_fd,Complete central FD,26,5,0.06224876552,0.06224876552,0.2192738749,0.2192738749,11,22,110,6,116,0.0006001150213,0
complete_fd,Complete central FD,26,6,0.2836947437,0.06224876552,0.9993265764,0.2192738749,11,22,132,7,139,0.001515777369,0
complete_fd,Complete central FD,26,7,0.06222095783,0.06222095783,0.2191759211,0.2191759211,11,22,154,8,162,0.0006002299454,0
complete_fd,Complete central FD,26,8,0.2836301212,0.06222095783,0.9990989408,0.2191759211,11,22,176,9,185,0.00151573942,0
complete_fd,Complete central FD,26,9,0.06219294422,0.06219294422,0.219077242,0.219077242,11,22,198,10,208,0.0006003452508,0
complete_fd,Complete central FD,26,10,0.2835650401,0.06219294422,0.9988696901,0.219077242,11,22,220,11,231,0.001515699794,0
complete_fd,Complete central FD,26,11,0.06216472204,0.06216472204,0.2189778282,0.2189778282,11,22,242,12,254,0.0006004609446,0
complete_fd,Complete central FD,26,12,0.2834994946,0.06216472204,0.9986388031,0.2189778282,11,22,264,13,277,0.001515658477,0
complete_fd,Complete central FD,26,13,0.06213628864,0.06213628864,0.2188776704,0.2188776704,11,22,286,14,300,0.0006005770339,0
complete_fd,Complete central FD,26,14,0.2834334784,0.06213628864,0.9984062586,0.2188776704,11,22,308,15,323,0.001515615453,0
complete_fd,Complete central FD,26,15,0.06210764131,0.06210764131,0.2187767589,0.2187767589,11,22,330,16,346,0.000600693526,0
complete_fd,Complete central FD,26,16,0.2833669857,0.06210764131,0.998172035,0.2187767589,11,22,352,17,369,0.001515570707,0
complete_fd,Complete central FD,26,17,0.06207877734,0.06207877734,0.2186750844,0.2186750844,11,22,374,18,392,0.0006008104281,0
complete_fd,Complete central FD,26,18,0.2833000101,0.06207877734,0.9979361108,0.2186750844,11,22,396,19,415,0.001515524226,0
complete_fd,Complete central FD,26,19,0.062049694,0.062049694,0.2185726371,0.2185726371,11,22,418,20,438,0.0006009277475,0
complete_fd,Complete central FD,26,20,0.2832325455,0.062049694,0.9976984641,0.2185726371,11,22,440,21,461,0.001515475993,0
matched_random,Random order (B = 6),26,0,0.2838859192,0.2838859192,1,1,0,0,0,1,1,,0
matched_random,Random order (B = 6),26,1,0.05503803258,0.05503803258,0.1938737671,0.1938737671,6,12,12,2,14,0.0006120769781,0
matched_random,Random order (B = 6),26,2,0.07689768193,0.05503803258,0.2708752944,0.1938737671,6,12,24,3,27,0.001493418892,0
matched_random,Random order (B = 6),26,3,0.2149010023,0.05503803258,0.7569977508,0.1938737671,6,12,36,4,40,0.001388608101,0
matched_random,Random order (B = 6),26,4,0.05081449586,0.05081449586,0.1789961827,0.1789961827,6,12,48,5,53,0.000845881549,0
matched_random,Random order (B = 6),26,5,0.299703151,0.05081449586,1.055716859,0.1789961827,6,12,60,6,66,0.00158595004,0
matched_random,Random order (B = 6),26,6,0.05518321718,0.05081449586,0.1943851859,0.1789961827,6,12,72,7,79,0.0005995161583,0
matched_random,Random order (B = 6),26,7,0.2797546826,0.05081449586,0.9854475467,0.1789961827,6,12,84,8,92,0.001645462741,0
matched_random,Random order (B = 6),26,8,0.0562791019,0.05081449586,0.1982454856,0.1789961827,6,12,96,9,105,0.000649684835,0
matched_random,Random order (B = 6),26,9,0.08565603489,0.05081449586,0.3017269583,0.1789961827,6,12,108,10,118,0.001432973107,0
matched_random,Random order (B = 6),26,10,0.2123209328,0.05081449586,0.7479093484,0.1789961827,6,12,120,11,131,0.001294200388,0
matched_random,Random order (B = 6),26,11,0.09207029089,0.05081449586,0.3243214428,0.1789961827,6,12,132,12,144,0.0008853774823,0
matched_random,Random order (B = 6),26,12,0.07079091405,0.05081449586,0.2493639496,0.1789961827,6,12,144,13,157,0.001372625377,0
matched_random,Random order (B = 6),26,13,0.07246863076,0.05081449586,0.2552737768,0.1789961827,6,12,156,14,170,0.001311375239,0
matched_random,Random order (B = 6),26,14,0.07467565709,0.05081449586,0.2630481191,0.1789961827,6,12,168,15,183,0.001295164443,0
matched_random,Random order (B = 6),26,15,0.2247453246,0.05081449586,0.7916747869,0.1789961827,6,12,180,16,196,0.001349474636,0
matched_random,Random order (B = 6),26,16,0.05174255427,0.05081449586,0.1822653072,0.1789961827,6,12,192,17,209,0.000835753068,0
matched_random,Random order (B = 6),26,17,0.1338947512,0.05081449586,0.4716498501,0.1789961827,6,12,204,18,222,0.001564360319,0
matched_random,Random order (B = 6),26,18,0.1622922592,0.05081449586,0.5716812573,0.1789961827,6,12,216,19,235,0.001261398156,0
matched_random,Random order (B = 6),26,19,0.1261116134,0.05081449586,0.4442334223,0.1789961827,6,12,228,20,248,0.001112684377,0
matched_random,Random order (B = 6),26,20,0.1573211219,0.05081449586,0.5541702186,0.1789961827,6,12,240,21,261,0.001241735937,0
matched_sign_order,Sign order (B = 6),26,0,0.2838859192,0.2838859192,1,1,0,0,0,1,1,,0
matched_sign_order,Sign order (B = 6),26,1,0.08247969931,0.08247969931,0.2905381836,0.2905381836,6,12,12,2,14,0.0006007965485,0
matched_sign_order,Sign order (B = 6),26,2,0.2234515726,0.08247969931,0.7871174916,0.2905381836,6,12,24,3,27,0.001439041834,0
matched_sign_order,Sign order (B = 6),26,3,0.05412970511,0.05412970511,0.1906741457,0.1906741457,6,12,36,4,40,0.000826009176,0
matched_sign_order,Sign order (B = 6),26,4,0.2875384343,0.05412970511,1.012866137,0.1906741457,6,12,48,5,53,0.001669120538,0
matched_sign_order,Sign order (B = 6),26,5,0.08498919501,0.05412970511,0.299377987,0.1906741457,6,12,60,6,66,0.0005963822805,0
matched_sign_order,Sign order (B = 6),26,6,0.0694047924,0.05412970511,0.2444812782,0.1906741457,6,12,72,7,79,0.001447221969,0
matched_sign_order,Sign order (B = 6),26,7,0.2525746994,0.05412970511,0.8897049212,0.1906741457,6,12,84,8,92,0.001579558286,0
matched_sign_order,Sign order (B = 6),26,8,0.07080991946,0.05412970511,0.249430897,0.1906741457,6,12,96,9,105,0.0007260546403,0
matched_sign_order,Sign order (B = 6),26,9,0.2494703788,0.05412970511,0.8787698225,0.1906741457,6,12,108,10,118,0.001503397874,0
matched_sign_order,Sign order (B = 6),26,10,0.06441300741,0.05412970511,0.2268975073,0.1906741457,6,12,120,11,131,0.0007272052957,0
matched_sign_order,Sign order (B = 6),26,11,0.267818501,0.05412970511,0.9434018489,0.1906741457,6,12,132,12,144,0.001612027115,0
matched_sign_order,Sign order (B = 6),26,12,0.06458196523,0.05412970511,0.2274926683,0.1906741457,6,12,144,13,157,0.000698715237,0
matched_sign_order,Sign order (B = 6),26,13,0.268420693,0.05412970511,0.9455230953,0.1906741457,6,12,156,14,170,0.001611068804,0
matched_sign_order,Sign order (B = 6),26,14,0.0777525056,0.05412970511,0.2738864465,0.1906741457,6,12,168,15,183,0.0006466438826,0
matched_sign_order,Sign order (B = 6),26,15,0.2411086649,0.05412970511,0.8493153364,0.1906741457,6,12,180,16,196,0.001482418615,0
matched_sign_order,Sign order (B = 6),26,16,0.06391751484,0.05412970511,0.225152114,0.1906741457,6,12,192,17,209,0.0007614649908,0
matched_sign_order,Sign order (B = 6),26,17,0.2744576555,0.05412970511,0.9667885477,0.1906741457,6,12,204,18,222,0.001617721336,0
matched_sign_order,Sign order (B = 6),26,18,0.0810610034,0.05412970511,0.2855407681,0.1906741457,6,12,216,19,235,0.0006342627669,0
matched_sign_order,Sign order (B = 6),26,19,0.2389997243,0.05412970511,0.841886505,0.1906741457,6,12,228,20,248,0.001474135361,0
matched_sign_order,Sign order (B = 6),26,20,0.06530846782,0.05412970511,0.2300518039,0.1906741457,6,12,240,21,261,0.0007718147016,0
matched_snr_order,SNR order (B = 6),26,0,0.2838859192,0.2838859192,1,1,0,0,0,1,1,,0
matched_snr_order,SNR order (B = 6),26,1,0.08174158692,0.08174158692,0.2879381519,0.2879381519,6,12,12,2,14,0.0005694373112,0
matched_snr_order,SNR order (B = 6),26,2,0.2243512234,0.08174158692,0.7902865489,0.2879381519,6,12,24,3,27,0.001440745258,0
matched_snr_order,SNR order (B = 6),26,3,0.05430247053,0.05430247053,0.1912827191,0.1912827191,6,12,36,4,40,0.0008220801109,0
matched_snr_order,SNR order (B = 6),26,4,0.2867691126,0.05430247053,1.010156169,0.1912827191,6,12,48,5,53,0.00166799071,0
matched_snr_order,SNR order (B = 6),26,5,0.08352339494,0.05430247053,0.294214645,0.1912827191,6,12,60,6,66,0.0005675567067,0
matched_snr_order,SNR order (B = 6),26,6,0.2245199581,0.05430247053,0.790880924,0.1912827191,6,12,72,7,79,0.001443882069,0
matched_snr_order,SNR order (B = 6),26,7,0.05553117892,0.05430247053,0.1956108957,0.1912827191,6,12,84,8,92,0.0008243434192,0
matched_snr_order,SNR order (B = 6),26,8,0.2874797919,0.05430247053,1.012659567,0.1912827191,6,12,96,9,105,0.001666207333,0
matched_snr_order,SNR order (B = 6),26,9,0.08414920412,0.05430247053,0.296419084,0.1912827191,6,12,108,10,118,0.0005719194476,0
matched_snr_order,SNR order (B = 6),26,10,0.2264072537,0.05430247053,0.7975290017,0.1912827191,6,12,120,11,131,0.001450129886,0
matched_snr_order,SNR order (B = 6),26,11,0.05739573676,0.05430247053,0.2021788785,0.1912827191,6,12,132,12,144,0.0008194111189,0
