log,step,zone,direction,nx,ny,nz,total_cells
openems_step_ladder.log,0.025,0,plus,189,189,78,2786238
openems_step_ladder.log,0.025,0,minus,189,189,78,2786238
openems_step_ladder.log,0.025,1,plus,189,189,78,2786238
openems_step_ladder.log,0.025,1,minus,189,189,78,2786238
openems_step_ladder.log,0.025,2,plus,189,189,78,2786238
openems_step_ladder.log,0.025,2,minus,189,189,78,2786238
openems_step_ladder.log,0.025,3,plus,189,189,78,2786238
openems_step_ladder.log,0.025,3,minus,189,189,78,2786238
openems_step_ladder.log,0.025,4,plus,189,189,78,2786238
openems_step_ladder.log,0.025,4,minus,189,189,78,2786238
openems_step_ladder.log,0.025,5,plus,189,189,78,2786238
openems_step_ladder.log,0.025,5,minus,189,189,78,2786238
openems_step_ladder.log,0.1,0,plus,189,189,78,2786238
openems_step_ladder.log,0.1,0,minus,189,189,78,2786238
openems_step_ladder.log,0.1,1,plus,189,189,78,2786238
openems_step_ladder.log,0.1,1,minus,189,189,78,2786238
openems_step_ladder.log,0.1,2,plus,189,189,78,2786238
openems_step_ladder.log,0.1,2,minus,189,189,78,2786238
openems_step_ladder.log,0.1,3,plus,189,189,78,2786238
openems_step_ladder.log,0.1,3,minus,189,189,78,2786238
openems_step_ladder.log,0.1,4,plus,189,189,78,2786238
openems_step_ladder.log,0.1,4,minus,189,189,78,2786238
openems_step_ladder.log,0.1,5,plus,189,189,78,2786238
openems_step_ladder.log,0.1,5,minus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,0,plus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,0,minus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,1,plus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,1,minus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,2,plus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,2,minus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,3,plus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,3,minus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,4,plus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,4,minus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,5,plus,189,189,78,2786238
openems_step_ladder_h10.log,0.1,5,minus,189,189,78,2786238
