step,zone,q_plus,q_minus,fd_grad,s11_plus,s11_minus,source
0.05,0,1.6508455678743248e-24,1.5923845653025929e-24,0.3605500265461359,,,frozen repo_paper2/grad_fullwave.npz
0.05,1,1.6505267694610023e-24,1.5949671972986733e-24,0.3424132111211975,,,frozen repo_paper2/grad_fullwave.npz
0.05,2,1.6479630701266472e-24,1.5950966690947427e-24,0.32605680349306,,,frozen repo_paper2/grad_fullwave.npz
0.05,3,1.65222508838233e-24,1.5921967177995371e-24,0.3700827161924991,,,frozen repo_paper2/grad_fullwave.npz
0.05,4,1.65407674214211e-24,1.5923559690947786e-24,0.38028332329169245,,,frozen repo_paper2/grad_fullwave.npz
0.05,5,1.6614272494493463e-24,1.5949290361523832e-24,0.4084777798014727,,,frozen repo_paper2/grad_fullwave.npz
0.1,0,1.460067249340449e-24,1.603679968781613e-24,-0.4690923648807299,-8.755323965223367,-8.436074690725746,new openEMS run; same model and mesh recipe
0.1,1,1.4562524166104133e-24,1.6072912753981017e-24,-0.4934201333116661,-8.746586746469662,-8.435382139793827,new openEMS run; same model and mesh recipe
0.1,2,1.4566487206076737e-24,1.607859353857474e-24,-0.49382650005139084,-8.749681283303502,-8.428227038002463,new openEMS run; same model and mesh recipe
0.1,3,1.4569524320561838e-24,1.6078100500508977e-24,-0.49263078444642616,-8.745060982370088,-8.430315110964202,new openEMS run; same model and mesh recipe
0.1,4,1.4464349440373247e-24,1.6125054487663863e-24,-0.543436395401109,-8.752071066022909,-8.433405867851665,new openEMS run; same model and mesh recipe
0.1,5,1.4457919237919564e-24,1.6186092600205339e-24,-0.5645504173975269,-8.752086850855193,-8.433040599560133,new openEMS run; same model and mesh recipe
