step,zone,q_plus,q_minus,fd_grad,s11_plus,s11_minus,source
0.025,0,1.6033718199905111e-24,1.5937579721385826e-24,0.12028134550590153,-8.43657030370349,-8.43727534659958,new openEMS run; same model and mesh recipe
0.025,1,1.6010028706921324e-24,1.5947950284061088e-24,0.0777001586467918,-8.43623095564948,-8.436824711200273,new openEMS run; same model and mesh recipe
0.025,2,1.5967799996588712e-24,1.5940546824465589e-24,0.034164325595469336,-8.436532756976794,-8.436197545215116,new openEMS run; same model and mesh recipe
0.025,3,1.5987257250815988e-24,1.5922984808563106e-24,0.08056664571597594,-8.436257923923224,-8.436640077172179,new openEMS run; same model and mesh recipe
0.025,4,1.6024302158925167e-24,1.5955624914592757e-24,0.08590057100519743,-8.433211284905909,-8.427959032501013,new openEMS run; same model and mesh recipe
0.025,5,1.6041440162091093e-24,1.5991325800934666e-24,0.06257892571696289,-8.436279222614916,-8.436365464539952,new openEMS run; same model and mesh recipe
0.05,0,1.6508455678743248e-24,1.5923845653025929e-24,0.3605500265461359,,,frozen repo_paper2/grad_fullwave.npz
0.05,1,1.6505267694610023e-24,1.5949671972986733e-24,0.3424132111211975,,,frozen repo_paper2/grad_fullwave.npz
0.05,2,1.6479630701266472e-24,1.5950966690947427e-24,0.32605680349306,,,frozen repo_paper2/grad_fullwave.npz
0.05,3,1.65222508838233e-24,1.5921967177995371e-24,0.3700827161924991,,,frozen repo_paper2/grad_fullwave.npz
0.05,4,1.65407674214211e-24,1.5923559690947786e-24,0.38028332329169245,,,frozen repo_paper2/grad_fullwave.npz
0.05,5,1.6614272494493463e-24,1.5949290361523832e-24,0.4084777798014727,,,frozen repo_paper2/grad_fullwave.npz
0.1,0,1.4628222474443202e-24,1.603679968781613e-24,-0.4596667642113772,-8.749947126241016,-8.436074690725746,new openEMS run; same model and mesh recipe
0.1,1,1.4562524166104133e-24,1.6072912753981017e-24,-0.4934201333116661,-8.746568951504575,-8.435382139793827,new openEMS run; same model and mesh recipe
0.1,2,1.4566487206076737e-24,1.607859353857474e-24,-0.49382650005139084,-8.745445775605216,-8.434072005736812,new openEMS run; same model and mesh recipe
0.1,3,1.4569524320561838e-24,1.6078100500508977e-24,-0.49263078444642616,-8.745060982370088,-8.427838718756927,new openEMS run; same model and mesh recipe
0.1,4,1.449167459605397e-24,1.6125054487663863e-24,-0.5339996150760129,-8.744864037714896,-8.430053691093324,new openEMS run; same model and mesh recipe
0.1,5,1.448538145818257e-24,1.6238447326332594e-24,-0.5712087830006141,-8.74382899910527,-8.427253122226563,new openEMS run; same model and mesh recipe
