dataset,source_file,threshold,NQ,K,n_components,n_sign_correct,n_sign_wrong,TP_trusted_correct,FP_trusted_wrong,FN_rejected_correct,TN_rejected_wrong,false_trust_rate,coverage,coverage_cluster_low,coverage_cluster_high,coverage_wilson_low,coverage_wilson_high,false_trust_risk,false_trust_risk_cluster_low,false_trust_risk_cluster_high,false_trust_risk_wilson_low,false_trust_risk_wilson_high,sensitivity,sensitivity_cluster_low,sensitivity_cluster_high,sensitivity_wilson_low,sensitivity_wilson_high,specificity,specificity_cluster_low,specificity_cluster_high,specificity_wilson_low,specificity_wilson_high,trusted_components_mean,fd_component_checks_mean,reference_evaluations_mean,all_fd_reference_evaluations,reference_evaluation_savings_fraction
TMM easy (near-saturated),extbench_tmm.npz,0.5,80,11,880,852,28,850,27,2,1,0.9642857143,0.9965909091,0.9920454545,1,0.9900251923,0.9988399387,0.03078677309,0.02057142857,0.04123948063,0.02124347644,0.04442266386,0.9976525822,0.9941245593,1,0.9914817032,0.9993560171,0.03571428571,0,0.12,0.006332519849,0.1771219774,10.9625,0.0375,0.075,22,0.9965909091
TMM easy (near-saturated),extbench_tmm.npz,0.6,80,11,880,852,28,847,25,5,3,0.8928571429,0.9909090909,0.9840909091,0.9965909091,0.9821644465,0.9953864382,0.02866972477,0.0184544406,0.03926210469,0.01949356944,0.04198040884,0.9941314554,0.9883310478,0.9988249119,0.9863362954,0.9974907806,0.1071428571,0,0.2380952381,0.03711836683,0.2719585155,10.9,0.1,0.2,22,0.9909090909
TMM easy (near-saturated),extbench_tmm.npz,0.7,80,11,880,852,28,844,24,8,4,0.8571428571,0.9863636364,0.9772727273,0.9943181818,0.9763170042,0.9921824834,0.02764976959,0.0183908046,0.03793103448,0.01864986227,0.04081216296,0.9906103286,0.9836448598,0.9964830012,0.9815818505,0.9952345813,0.1428571429,0.03448275862,0.28,0.0569900532,0.3148980216,10.85,0.15,0.3,22,0.9863636364
TMM easy (near-saturated),extbench_tmm.npz,0.8,80,11,880,852,28,844,20,8,8,0.7142857143,0.9818181818,0.9715909091,0.9909090909,0.9706701716,0.9887779189,0.02314814815,0.01395348837,0.03263498462,0.01503405639,0.03548376386,0.9906103286,0.9836448598,0.9964830012,0.9815818505,0.9952345813,0.2857142857,0.125,0.4615384615,0.1525399606,0.4705928843,10.8,0.2,0.4,22,0.9818181818
TMM easy (near-saturated),extbench_tmm.npz,0.9,80,11,880,852,28,831,13,21,15,0.4642857143,0.9590909091,0.9443181818,0.9727272727,0.9438852652,0.9703058399,0.0154028436,0.008244751611,0.02378121284,0.009023281748,0.02617369819,0.9753521127,0.9636576788,0.9848661234,0.9626138669,0.9838231065,0.5357142857,0.3635732323,0.7142857143,0.3581268923,0.7046843002,10.55,0.45,0.9,22,0.9590909091
TMM easy (near-saturated),extbench_tmm.npz,1,80,11,880,852,28,805,4,47,24,0.1428571429,0.9193181818,0.8909090909,0.9431818182,0.8994485868,0.9355427939,0.004944375773,0.001212084526,0.01008859083,0.001924400918,0.01264357995,0.9448356808,0.9202368377,0.9638694639,0.9274139324,0.9582641242,0.8571428571,0.7307692308,0.9666666667,0.6851019784,0.9430099468,10.1125,0.8875,1.775,22,0.9193181818
TMM stressed,extbench_tmm_hard.npz,0.5,100,11,1100,867,233,864,223,3,10,0.9570815451,0.9881818182,0.9818181818,0.9936363636,0.9798852933,0.9930805175,0.2051517939,0.1764705882,0.2361623616,0.1822043112,0.2301759253,0.9965397924,0.992081448,1,0.9898763743,0.9988225344,0.04291845494,0.01901140684,0.0703535282,0.02347687547,0.07718733652,10.87,0.13,0.26,22,0.9881818182
TMM stressed,extbench_tmm_hard.npz,0.6,100,11,1100,867,233,847,197,20,36,0.8454935622,0.9490909091,0.9372727273,0.9609090909,0.9344669895,0.9605890823,0.188697318,0.1612284069,0.2183908046,0.1661205802,0.2135565699,0.9769319493,0.9667431193,0.9862542955,0.9646380775,0.9850181333,0.1545064378,0.1138211382,0.1990291262,0.1137396304,0.2064807365,10.44,0.56,1.12,22,0.9490909091
TMM stressed,extbench_tmm_hard.npz,0.7,100,11,1100,867,233,804,169,63,64,0.7253218884,0.8845454545,0.8645454545,0.9036363636,0.8643076395,0.9021067702,0.1736896197,0.1462649459,0.2034943474,0.1511810508,0.1987646397,0.9273356401,0.9088811995,0.9441805226,0.9081070148,0.9427941366,0.2746781116,0.218104558,0.3319672131,0.2213697987,0.3352956579,9.73,1.27,2.54,22,0.8845454545
TMM stressed,extbench_tmm_hard.npz,0.8,100,11,1100,867,233,755,138,112,95,0.5922746781,0.8118181818,0.7890909091,0.8345454545,0.7876499686,0.8338160893,0.1545352744,0.1270018343,0.1845979615,0.1323122042,0.1797178164,0.8708189158,0.8508662588,0.8902162145,0.8468469393,0.891519377,0.4077253219,0.3421052632,0.4748886986,0.346619889,0.4718240599,8.93,2.07,4.14,22,0.8118181818
