dataset,threshold,calibration_queries,test_queries,risk_target,calibration_coverage,calibration_false_trust_risk,calibration_risk_upper_bonferroni_cluster,passes_calibration_screen,selected
TMM easy (near-saturated),0.5,40,40,0.1,0.9931818182,0.02517162471,0.04347826087,True,True
TMM easy (near-saturated),0.6,40,40,0.1,0.9863636364,0.02304147465,0.04137931034,True,False
TMM easy (near-saturated),0.7,40,40,0.1,0.9818181818,0.02314814815,0.0415704388,True,False
TMM easy (near-saturated),0.8,40,40,0.1,0.9772727273,0.01860465116,0.03695150115,True,False
TMM easy (near-saturated),0.9,40,40,0.1,0.9545454545,0.0119047619,0.02457002457,True,False
TMM easy (near-saturated),1,40,40,0.1,0.9113636364,0.007481296758,0.01995012469,True,False
TMM stressed,0.5,50,50,0.1,0.9854545455,0.1955719557,0.2477009106,False,False
TMM stressed,0.6,50,50,0.1,0.9527272727,0.1812977099,0.2333134074,False,False
TMM stressed,0.7,50,50,0.1,0.8890909091,0.163599182,0.2156057495,False,False
TMM stressed,0.8,50,50,0.1,0.8109090909,0.1434977578,0.1938102783,False,False
TMM stressed,0.9,50,50,0.1,0.7363636364,0.1283950617,0.1763224181,False,False
TMM stressed,1,50,50,0.1,0.5672727273,0.1025641026,0.1535091696,False,False
Heat/Poisson stressed,0.5,50,50,0.1,0.99375,0.09685534591,0.1182389937,False,False
Heat/Poisson stressed,0.6,50,50,0.1,0.97125,0.0888030888,0.108974359,False,False
Heat/Poisson stressed,0.7,50,50,0.1,0.92375,0.07307171854,0.09066666667,True,True
Heat/Poisson stressed,0.8,50,50,0.1,0.88,0.06392045455,0.08157524613,True,False
Heat/Poisson stressed,0.9,50,50,0.1,0.80375,0.05287713841,0.06962445151,True,False
Heat/Poisson stressed,1,50,50,0.1,0.69125,0.05063291139,0.06690140845,True,False
