dataset,M,subset_index,members,sign_auc,snr_auc,magnitude_auc,tau09_coverage,tau09_false_trust_risk,zero_budget_cosine,accepted_components,total_components,K
TMM easy (near-saturated),3,0,0;1;2,0.741490610329,0.951291079812,0.945799798793,0.968181818182,0.0164319248826,0.99507700329,852,880,11
TMM easy (near-saturated),3,1,0;1;3,0.679221200211,0.906641273958,0.928684306495,0.968181818182,0.0211267605634,0.994719530058,852,880,11
TMM easy (near-saturated),3,2,0;1;4,0.756476358149,0.919056002683,0.947183098592,0.961363636364,0.01536643026,0.995176032813,846,880,11
TMM easy (near-saturated),3,3,0;1;5,0.695885102018,0.923781298682,0.922679433109,0.956818181818,0.021377672209,0.993871006833,842,880,11
TMM easy (near-saturated),3,4,0;1;6,0.66291178735,0.929859394627,0.934154544349,0.969318181818,0.0222743259086,0.995171687939,853,880,11
TMM easy (near-saturated),3,5,0;1;7,0.832147360836,0.952350927761,0.949153305711,0.954545454545,0.00952380952381,0.995061490717,840,880,11
TMM easy (near-saturated),3,6,0;1;8,0.666478034876,0.936829309188,0.930751173709,0.964772727273,0.0212014134276,0.995271575661,849,880,11
TMM easy (near-saturated),3,7,0;1;9,0.700887267003,0.942256091016,0.93570891918,0.961363636364,0.0224586288416,0.994121881781,846,880,11
TMM easy (near-saturated),3,8,0;2;3,0.645913529722,0.946189067628,0.938571254913,0.971590909091,0.0233918128655,0.995000054957,855,880,11
TMM easy (near-saturated),3,9,0;2;4,0.674764447918,0.911727671399,0.949850201902,0.965909090909,0.02,0.995502704357,850,880,11
TMM easy (near-saturated),3,10,0;2;5,0.702176470588,0.94168627451,0.93137254902,0.956818181818,0.020190023753,0.994097422383,842,880,11
TMM easy (near-saturated),3,11,0;2;6,0.663458811135,0.937396166781,0.946553750152,0.970454545455,0.0222482435597,0.995466659448,854,880,11
TMM easy (near-saturated),3,12,0;2;7,0.795262114934,0.941497027563,0.950909745992,0.957954545455,0.011862396204,0.995321088832,843,880,11
TMM easy (near-saturated),3,13,0;2;8,0.649626928236,0.936368209256,0.944081153588,0.967045454545,0.0223266745006,0.995565581525,851,880,11
TMM easy (near-saturated),3,14,0;2;9,0.696182728411,0.942567097761,0.946773744959,0.963636363636,0.0235849056604,0.994451925808,848,880,11
TMM easy (near-saturated),3,15,0;3;4,0.715319730993,0.89855237661,0.94141114784,0.964772727273,0.020023557126,0.995208867192,849,880,11
TMM easy (near-saturated),3,16,0;3;5,0.637848377518,0.876999034024,0.922900790669,0.961363636364,0.0271867612293,0.993877505233,846,880,11
TMM easy (near-saturated),3,17,0;3;6,0.616561025943,0.905770931604,0.933335790094,0.973863636364,0.0280046674446,0.995140140151,857,880,11
TMM easy (near-saturated),3,18,0;3;7,0.76266770874,0.945942425427,0.937128218488,0.956818181818,0.0142517814727,0.994991127351,842,880,11
TMM easy (near-saturated),3,19,0;3;8,0.633591701812,0.911508795927,0.929974543106,0.967045454545,0.0258519388954,0.995331281015,851,880,11
TMM easy (near-saturated),3,20,0;3;9,0.606382978723,0.906410791267,0.931024892226,0.968181818182,0.0305164319249,0.994128686602,852,880,11
TMM easy (near-saturated),3,21,0;4;5,0.76531372549,0.934392156863,0.929607843137,0.95,0.0155502392344,0.994773840412,836,880,11
TMM easy (near-saturated),3,22,0;4;6,0.712184448316,0.910288099194,0.944730337534,0.963636363636,0.0188679245283,0.995659957694,848,880,11
TMM easy (near-saturated),3,23,0;4;7,0.819265338023,0.91954322435,0.957535495636,0.952272727273,0.0107398568019,0.995505248928,838,880,11
TMM easy (near-saturated),3,24,0;4;8,0.693930061996,0.929899914907,0.944163053608,0.961363636364,0.0200945626478,0.995760882692,846,880,11
TMM easy (near-saturated),3,25,0;4;9,0.737362675567,0.932206925323,0.947017104714,0.956818181818,0.020190023753,0.994789899758,842,880,11
TMM easy (near-saturated),3,26,0;5;6,0.664198303435,0.924419413155,0.929738562092,0.961363636364,0.0260047281324,0.994314255111,846,880,11
TMM easy (near-saturated),3,27,0;5;7,0.766494802146,0.950829979879,0.925720992622,0.946590909091,0.0144057623049,0.993341745041,833,880,11
TMM easy (near-saturated),3,28,0;5;8,0.665196078431,0.927607843137,0.919215686275,0.954545454545,0.022619047619,0.994573474947,840,880,11
TMM easy (near-saturated),3,29,0;5;9,0.627455621302,0.918748943364,0.921318681319,0.957954545455,0.0296559905101,0.992532857127,843,880,11
TMM easy (near-saturated),3,30,0;6;7,0.7996179063,0.936997959272,0.945812166211,0.954545454545,0.0119047619048,0.995525926892,840,880,11
TMM easy (near-saturated),3,31,0;6;8,0.661722435142,0.921285377358,0.940632370283,0.967045454545,0.0246768507638,0.995718062648,851,880,11
TMM easy (near-saturated),3,32,0;6;9,0.676240780098,0.93896112014,0.946774596825,0.967045454545,0.0282021151586,0.994602327198,851,880,11
TMM easy (near-saturated),3,33,0;7;8,0.744713646824,0.94394511745,0.94520428987,0.956818181818,0.0154394299287,0.99551656064,842,880,11
TMM easy (near-saturated),3,34,0;7;9,0.75062745098,0.942352941176,0.937607843137,0.952272727273,0.0167064439141,0.99430508443,838,880,11
TMM easy (near-saturated),3,35,0;8;9,0.673558748943,0.926187658495,0.939577345731,0.961363636364,0.0260047281324,0.994791559779,846,880,11
TMM easy (near-saturated),3,36,1;2;3,0.678105529595,0.904595015576,0.949522975078,0.971590909091,0.0175438596491,0.995344856062,855,880,11
TMM easy (near-saturated),3,37,1;2;4,0.679777149509,0.917013138201,0.952214646045,0.970454545455,0.0152224824356,0.99574989026,854,880,11
TMM easy (near-saturated),3,38,1;2;5,0.725894736842,0.826432748538,0.943204678363,0.955681818182,0.0154577883472,0.994714659141,841,880,11
TMM easy (near-saturated),3,39,1;2;6,0.679225077882,0.86550817757,0.950593847352,0.973863636364,0.0175029171529,0.99570599777,857,880,11
TMM easy (near-saturated),3,40,1;2;7,0.852140283958,0.97594829413,0.968743377834,0.960227272727,0.00710059171598,0.99568468376,845,880,11
TMM easy (near-saturated),3,41,1;2;8,0.711064327485,0.891649122807,0.957941520468,0.970454545455,0.016393442623,0.995854374857,854,880,11
TMM easy (near-saturated),3,42,1;2;9,0.721537558685,0.914989939638,0.953428906774,0.9625,0.0177095631641,0.994795314724,847,880,11
TMM easy (near-saturated),3,43,1;3;4,0.731492336416,0.931874430116,0.95649342191,0.967045454545,0.0164512338425,0.995453572934,851,880,11
TMM easy (near-saturated),3,44,1;3;5,0.699656270959,0.856933266264,0.928361837693,0.957954545455,0.0189798339265,0.994522242498,843,880,11
TMM easy (near-saturated),3,45,1;3;6,0.639768138596,0.913507880683,0.941687291043,0.975,0.0221445221445,0.99537241541,858,880,11
TMM easy (near-saturated),3,46,1;3;7,0.827415204678,0.955789473684,0.962713450292,0.956818181818,0.00950118764846,0.995369066612,842,880,11
TMM easy (near-saturated),3,47,1;3;8,0.642136551973,0.936858223743,0.938749774815,0.968181818182,0.0211267605634,0.995626732266,852,880,11
TMM easy (near-saturated),3,48,1;3;9,0.708892246462,0.926923643868,0.947376179245,0.964772727273,0.0212014134276,0.994474608818,849,880,11
TMM easy (near-saturated),3,49,1;4;5,0.796730013372,0.91401596499,0.956764860813,0.951136363636,0.0131421744325,0.995180136937,837,880,11
TMM easy (near-saturated),3,50,1;4;6,0.721851918573,0.932084309133,0.954512700414,0.969318181818,0.0164126611958,0.995809985642,853,880,11
