dataset,M,subsets,sign_auc_median,sign_auc_q10,sign_auc_q90,snr_auc_median,snr_auc_q10,snr_auc_q90,magnitude_auc_median,magnitude_auc_q10,magnitude_auc_q90,tau09_coverage_median,tau09_coverage_q10,tau09_coverage_q90,tau09_false_trust_risk_median,tau09_false_trust_risk_q10,tau09_false_trust_risk_q90,zero_budget_cosine_median,zero_budget_cosine_q10,zero_budget_cosine_q90
TMM easy (near-saturated),3,120,0.708532945165,0.639703008988,0.809296200488,0.927265743503,0.880766341097,0.952540082868,0.94968658849,0.930997520375,0.962823753918,0.961363636364,0.952159090909,0.971704545455,0.0194876977104,0.010751405035,0.0260047281324,0.995184439411,0.994097273613,0.995909739056
TMM easy (near-saturated),5,252,0.805357282603,0.722680851889,0.878846628443,0.954829370815,0.936388119805,0.972696632243,0.95119567879,0.940593070979,0.963053633302,0.944318181818,0.935227272727,0.954545454545,0.0121212121212,0.00605400249468,0.0190862679104,0.995519539328,0.99493601107,0.995951477382
TMM easy (near-saturated),7,120,0.864488612535,0.782807843137,0.905642395033,0.964108339312,0.952301209216,0.973126662574,0.952647764477,0.944636954292,0.960441798109,0.932954545455,0.925,0.940909090909,0.0073664852806,0.00488340927365,0.0145296059872,0.995624723318,0.995300785482,0.995957334981
TMM easy (near-saturated),9,10,0.900013825131,0.859395434798,0.90766371175,0.967946586463,0.962009636117,0.970776402259,0.950463957211,0.947744344579,0.955592970681,0.922159090909,0.920340909091,0.929545454545,0.00493827160494,0.00491160197762,0.00787274019295,0.995686936583,0.995567444537,0.995881482559
TMM easy (near-saturated),10,1,0.905600268276,0.905600268276,0.905600268276,0.969944668008,0.969944668008,0.969944668008,0.95317739772,0.95317739772,0.95317739772,0.959090909091,0.959090909091,0.959090909091,0.0154028436019,0.0154028436019,0.0154028436019,0.995746166499,0.995746166499,0.995746166499
TMM stressed,3,120,0.649310944355,0.622120746456,0.676315992673,0.741742532851,0.70017757936,0.777625838801,0.732271231601,0.709159315569,0.752415596839,0.776818181818,0.710727272727,0.812,0.152023121387,0.128414703132,0.178117180984,0.7663112576,0.726110044506,0.798433274357
TMM stressed,5,252,0.689174076292,0.667510219571,0.712969445445,0.76460267226,0.736670564603,0.79515401323,0.738883595234,0.720924127563,0.753178046058,0.684090909091,0.638181818182,0.729090909091,0.128104507149,0.110286045613,0.147983753141,0.772509745189,0.745649112946,0.79508825744
TMM stressed,7,120,0.709918488736,0.685232329836,0.728275786209,0.773740377131,0.754163588133,0.79924575738,0.737845680031,0.725411536741,0.753006661499,0.619545454545,0.599,0.677272727273,0.116208916483,0.0998765432099,0.130733829805,0.77442668917,0.758045285329,0.790519058753
TMM stressed,9,10,0.717235156968,0.708654846922,0.733000169117,0.777711313385,0.765429008229,0.792185608134,0.740450538474,0.72779311793,0.745381609845,0.588636363636,0.579090909091,0.603272727273,0.102342336624,0.0997790127923,0.11445552981,0.777623834528,0.767639734706,0.782415244106
TMM stressed,10,1,0.724089282267,0.724089282267,0.724089282267,0.781308938622,0.781308938622,0.781308938622,0.738256827598,0.738256827598,0.738256827598,0.74,0.74,0.74,0.133906633907,0.133906633907,0.133906633907,0.777042080974,0.777042080974,0.777042080974
Heat/Poisson stressed,3,120,0.684913645416,0.635399131279,0.779938891757,0.795904484829,0.728882256199,0.852691187569,0.836608384953,0.802318662815,0.863932345142,0.8325,0.7774375,0.875625,0.0647962453501,0.0519488133128,0.0866527921084,0.945117665707,0.938643392869,0.950789993848
Heat/Poisson stressed,5,252,0.729466076462,0.682934300294,0.78781549179,0.815086162897,0.775071420726,0.85320106471,0.836324579632,0.810821428973,0.859771971358,0.761875,0.72,0.80925,0.0515005042136,0.0457632973274,0.0631217774469,0.948695890755,0.944666173591,0.952316531031
Heat/Poisson stressed,7,120,0.755273873115,0.710112325544,0.782275496564,0.820507768004,0.793319790155,0.847002154799,0.838150927676,0.821025060081,0.853094742708,0.7265625,0.695,0.757625,0.0473716801982,0.0456100373633,0.055145531495,0.949844426177,0.947388982579,0.952239412087
Heat/Poisson stressed,9,10,0.765062774226,0.746377956523,0.772178372296,0.825136578507,0.810760622689,0.836160895224,0.840250788515,0.832488639707,0.851167155804,0.6915625,0.6875,0.7228125,0.0471869717054,0.0466799705112,0.0477394651431,0.950710727183,0.949400994044,0.951876831542
Heat/Poisson stressed,10,1,0.762243256848,0.762243256848,0.762243256848,0.824590049886,0.824590049886,0.824590049886,0.842223941005,0.842223941005,0.842223941005,0.79875,0.79875,0.79875,0.0485133020344,0.0485133020344,0.0485133020344,0.950911527582,0.950911527582,0.950911527582
