dataset,method,NQ,K,queries_with_any_tie,query_any_tie_fraction,average_unique_scores_per_query,average_pair_tie_fraction,average_largest_tie_group,average_components_in_nontrivial_ties
TMM easy (near-saturated),mean_aligned_sign,80,11,80,1,1.6875,0.8597727273,10.15,10.4375
TMM easy (near-saturated),sign_agreement,80,11,80,1,1.6875,0.8597727273,10.15,10.4375
TMM easy (near-saturated),snr,80,11,0,0,11,0,1,0
TMM easy (near-saturated),magnitude,80,11,0,0,11,0,1,0
TMM stressed,mean_aligned_sign,100,11,100,1,3.84,0.4012727273,6.46,9.23
TMM stressed,sign_agreement,100,11,100,1,3.79,0.4025454545,6.46,9.32
TMM stressed,snr,100,11,0,0,11,0,1,0
TMM stressed,magnitude,100,11,0,0,11,0,1,0
Heat/Poisson stressed,mean_aligned_sign,100,16,100,1,4.32,0.4848333333,11,13.88
Heat/Poisson stressed,sign_agreement,100,16,100,1,4.24,0.4858333333,11,14.01
Heat/Poisson stressed,snr,100,16,0,0,16,0,1,0
Heat/Poisson stressed,magnitude,100,16,0,0,16,0,1,0
