regime,outer_repeat,training_data_seed,member_seed_start,member_seed_end,members,training_samples,queries,components,tau,archive_file,query_points_sha256,reference_gradients_sha256,auc,coverage_tau_0_9,risk_tau_0_9,zero_budget_cosine,fraction_sign_correct,accepted_components,total_components,elapsed_seconds
tmm_easy,0,17001,29000,29009,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8037287722186652,0.946590909090909,0.026410564225690276,0.9933169154595707,0.9556818181818182,833,880,15.91030640000099
tmm_stressed,0,17001,29000,29009,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.7493297716634705,0.6118181818181818,0.11144130757800892,0.7096478447984909,0.7809090909090909,673,1100,5.632701599999564
heat_poisson_stressed,0,17001,29000,29009,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.6734628205128205,0.83625,0.1412556053811659,0.9238373509524257,0.8125,1338,1600,5.059469700005138
tmm_easy,1,17002,29010,29019,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8666416740508486,0.9613636363636363,0.0070921985815602835,0.9963039818055867,0.9806818181818182,846,880,16.257346099999268
tmm_stressed,1,17002,29010,29019,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.7218967161738656,0.74,0.12285012285012285,0.7934738333258662,0.8136363636363636,814,1100,5.734832900001493
heat_poisson_stressed,1,17002,29010,29019,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.8005120411416511,0.835,0.05913173652694611,0.9596241852115382,0.880625,1336,1600,4.645613900000171
tmm_easy,2,17003,29020,29029,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8749682918167521,0.9613636363636363,0.009456264775413711,0.9956666905989945,0.9738636363636364,846,880,15.702303300000494
tmm_stressed,2,17003,29020,29029,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.7105023789532605,0.7272727272727273,0.20125,0.5968272890776167,0.7218181818181818,800,1100,5.8096423000024515
heat_poisson_stressed,2,17003,29020,29029,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.6759479994685638,0.775625,0.13456889605157132,0.9097017386978744,0.806875,1241,1600,4.76519730000291
tmm_easy,3,17004,29030,29039,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8283648300949339,0.9647727272727272,0.005889281507656066,0.9968227033796456,0.9852272727272727,849,880,15.733862699999008
tmm_stressed,3,17004,29030,29039,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.7973333333333333,0.7372727272727273,0.05672009864364982,0.8372350701422137,0.8636363636363636,811,1100,5.731276500002423
